trade_date,date,open,high,low,close,volume,pct_chg,change,RSI_6,RSI_14,RSI_24,DIF,DEA,MACD_hist,BOLL_MID,BOLL_UPPER,BOLL_LOWER,BOLL_WIDTH,BOLL_PCTB,TR,ATR_14,ATR_PCT,K,D,J,MACD_golden_cross,MACD_death_cross,KDJ_golden_cross,KDJ_death_cross,BOLL_break_up,BOLL_break_down,RSI_oversold,RSI_overbought
20240813,2024-08-13,4.3662,4.4319,4.3568,4.4132,1491919.7,0.8584,0.04,62.425277837514344,58.69237067305357,58.981715243025526,0.03780235616243921,0.052269136241015465,-0.02893356015715251,4.39391,4.4880120028869595,4.2998079971130405,0.04283292233430337,0.6024951616766968,0.07509999999999994,0.08041053816063339,1.8220460926455493,46.87085175906629,39.46965958834266,61.67323610051356,0,0,1,0,0,0,0,0
20240814,2024-08-14,4.4132,4.4413,4.4038,4.4319,948142.28,0.4255,0.02,66.57180973054383,60.31230394215183,59.89748776846339,0.039548113044272526,0.04972493160166688,-0.020353637114788714,4.396725,4.491883192389915,4.301566807610085,0.043285942327489293,0.6848238134656264,0.037499999999999645,0.07734549972058813,1.7451995694981415,60.40835301469919,46.44922406379483,88.32661091650792,0,0,0,0,0,0,0,0
20240815,2024-08-15,4.4319,4.4695,4.4226,4.4601,1291664.05,0.6356,0.03,72.13620792076955,62.68860018568608,61.2585467003607,0.04271475318765461,0.048322895918864434,-0.01121628546241965,4.40095,4.4995984988013396,4.30230150119866,0.04483054740514645,0.7998018252620209,0.04689999999999994,0.07517082116911754,1.6854066314458764,71.75152528396113,54.883324470516925,105.48792691084952,0,0,0,0,0,0,0,0
20240816,2024-08-16,4.4601,4.5258,4.4507,4.5164,1533129.67,1.2632,0.06,80.0800958969632,66.94398778477003,63.81686311513088,0.04920012933204099,0.048498342601499746,0.001403573461082483,4.40752,4.518435569596497,4.2966044304035025,0.050330149197960486,0.9908237878419479,0.07509999999999994,0.07516576251418057,1.6642848842923694,79.77694524774796,63.181198062927265,112.96843961738935,1,0,0,0,0,0,0,0
20240819,2024-08-19,4.5164,4.6291,4.4977,4.6197,1929694.69,2.2869,0.11,87.76208292201326,73.02339784682815,67.87807165242786,0.06196103509380091,0.051190881099959985,0.021540307987681848,4.420195,4.564223980636277,4.276166019363722,0.06516860936509705,1.1925863083896242,0.13140000000000018,0.07918249376316769,1.7140180912866134,85.53634278003578,70.63291296863011,115.34320240284711,0,0,0,0,1,0,0,1
20240820,2024-08-20,4.6291,4.6667,4.5822,4.6573,1824758.9,0.813,0.04,89.52631113837647,74.83740350658084,69.19145409258354,0.07425221727075026,0.05580314833411805,0.03689813787326443,4.429585,4.607621072926598,4.251548927073403,0.0803849899828529,1.1395192734168098,0.08449999999999935,0.0795623156372271,1.7083356373269298,89.45562364571956,76.90714986099326,114.55257121517212,0,0,0,0,1,0,0,1
20240821,2024-08-21,4.6479,4.6667,4.5728,4.6479,1405577.53,-0.2016,-0.01,85.8149643340263,73.50663466828313,68.46122742013034,0.08228602419262376,0.061099723505819194,0.04237260137360914,4.438505,4.641138664527803,4.235871335472197,0.0913071696563609,1.016683643085547,0.09389999999999965,0.0805864359488537,1.733824650892956,91.16653934853768,81.66027969017473,110.17905866526357,0,0,0,0,1,0,0,1
20240822,2024-08-22,4.6479,4.7794,4.6385,4.7606,2146507.66,2.4242,0.12,91.11451688425514,78.4536047116923,72.13972220787925,0.0966328982859137,0.06820635846183809,0.05685307964815123,4.45447,4.703119684665346,4.205820315334654,0.11164052498517045,1.1155849351106482,0.14090000000000025,0.08489454766679275,1.78327411811101,92.69130111530667,85.33728683188538,107.39932968214927,0,0,0,0,1,0,0,1
20240823,2024-08-23,4.7606,4.7794,4.6949,4.77,1524498.86,0.1972,0.01,91.43479816452981,78.809024595507,72.4196924069608,0.10752195464634351,0.07606947769873917,0.06290495389520867,4.4756,4.755766236366847,4.195433763633153,0.1251971741741207,1.025402353648558,0.08450000000000024,0.08486636569059328,1.7791690920459808,94.3860922090686,88.35355529094645,106.4511660453129,0,0,0,0,1,0,0,1
20240826,2024-08-26,4.7512,4.77,4.6949,4.77,1374832.02,0.0,0.0,91.43479816452981,78.809024595507,72.4196924069608,0.11482794518917316,0.08382117119682597,0.062013547984694384,4.491565,4.800653999446616,4.182476000553383,0.13763087006271363,0.9504123415885098,0.07509999999999994,0.08416876814126519,1.7645444054772579,95.42317400377378,90.71009486188889,104.84933228754355,0,0,0,0,0,0,0,1
