ts_code,trade_date,fwd_open,fwd_high,fwd_low,fwd_close,fwd_pre_close,bwd_open,bwd_high,bwd_low,bwd_close,bwd_pre_close,vol,amount,pct_chg,change
600519.SH,20230825,1625.0513,1651.0874,1622.5537,1639.5967,1631.7984,14050.6807,14275.7974,14029.0857,14176.4446,14109.0184,18830.86,3433296.756,0.4779,8.68
600519.SH,20230824,1598.8444,1642.3099,1594.6937,1631.7984,1593.7953,13824.0882,14199.904,13788.2,14109.0184,13780.432,26055.09,4703417.6,2.3844,42.3
600519.SH,20230823,1614.4589,1617.1542,1590.2735,1593.7953,1606.3731,13959.096,13982.4,13749.9814,13780.432,13889.184,19912.22,3556178.584,-0.783,-14.0
600519.SH,20230822,1618.0436,1619.4541,1591.118,1606.3731,1609.0684,13990.0903,14002.2861,13757.2834,13889.184,13912.488,26650.36,4763131.152,-0.1675,-3.0
600519.SH,20230821,1610.8652,1629.723,1608.2329,1609.0684,1619.4811,13928.024,14091.0743,13905.2638,13912.488,14002.5191,18911.81,3405415.645,-0.643,-11.59
600519.SH,20230818,1645.8946,1648.5898,1619.4811,1619.4811,1642.3548,14230.8983,14254.2023,14002.5191,14002.5191,14200.2924,17023.34,3084761.577,-1.3927,-25.46
600519.SH,20230817,1622.6165,1647.7004,1618.5467,1642.3548,1635.1225,14029.6294,14246.512,13994.4404,14200.2924,14137.76,17290.37,3141408.018,0.4423,8.05
600519.SH,20230816,1623.9642,1638.1322,1622.5447,1635.1225,1628.8156,14041.2814,14163.7828,14029.008,14137.76,14083.2286,13184.31,2396261.791,0.3872,7.02
600519.SH,20230815,1625.2399,1633.3257,1618.0616,1628.8156,1619.8494,14052.312,14122.224,13990.2457,14083.2286,14005.704,14817.99,2682125.119,0.5535,9.98
600519.SH,20230814,1626.1383,1639.5967,1613.5605,1619.8494,1647.7004,14060.08,14176.4446,13951.328,14005.704,14246.512,23731.19,4285362.053,-1.6903,-31.0
600519.SH,20230811,1693.5198,1693.8791,1647.5926,1647.7004,1684.5356,14642.68,14645.7872,14245.5798,14246.512,14565.0,26786.49,4959166.751,-2.1867,-41.0
600519.SH,20230810,1690.8245,1697.1134,1673.1257,1684.5356,1698.2634,14619.376,14673.752,14466.3464,14565.0,14683.695,18436.19,3454219.14,-0.8083,-15.28
600519.SH,20230809,1698.0119,1711.4882,1691.687,1698.2634,1698.0119,14681.52,14798.04,14626.8333,14683.695,14681.52,18523.46,3506306.394,0.0148,0.28
600519.SH,20230808,1689.0546,1701.345,1674.7248,1698.0119,1696.1521,14604.073,14710.3393,14480.1734,14681.52,14665.4402,17736.18,3333559.505,0.1096,2.07
600519.SH,20230807,1689.8812,1705.1992,1680.9689,1696.1521,1701.1294,14611.2196,14743.664,14534.161,14665.4402,14708.475,23892.45,4491893.14,-0.2926,-5.54
600519.SH,20230804,1696.0533,1712.8537,1690.8245,1701.1294,1687.6531,14664.5858,14809.8474,14619.376,14708.475,14591.955,24573.64,4655813.751,0.7985,15.0
600519.SH,20230803,1680.0435,1698.0119,1662.5243,1687.6531,1689.0277,14526.16,14681.52,14374.684,14591.955,14603.84,21543.47,4031087.705,-0.0814,-1.53
