ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20230725,1828.55,0.343,0.7846,2.09,36.6255,34.6634,12.3678,18.5095,17.5936,2.3836,2.6152,125619.78,125619.78,54913.6536,229702048.719,229702048.719
600519.SH,20230724,1771.15,0.1569,0.359,1.01,35.4758,33.5753,11.9795,17.9284,17.0413,2.4608,2.7,125619.78,125619.78,54913.6536,222491473.347,222491473.347
600519.SH,20230721,1771.3,0.3135,0.7171,2.56,35.4788,33.5782,11.9805,17.9299,17.0428,2.4606,2.6998,125619.78,125619.78,54913.6536,222510316.314,222510316.314
600519.SH,20230720,1724.0,0.1329,0.304,0.97,34.5314,32.6815,11.6606,17.4512,16.5877,2.5281,2.7738,125619.78,125619.78,54913.6536,216568500.72,216568500.72
600519.SH,20230719,1723.0,0.0994,0.2273,0.72,34.5113,32.6626,11.6539,17.441,16.5781,2.5296,2.7754,125619.78,125619.78,54913.6536,216442880.94,216442880.94
600519.SH,20230718,1722.8,0.1173,0.2684,0.87,34.5073,32.6588,11.6525,17.439,16.5761,2.5299,2.7758,125619.78,125619.78,54913.6536,216417756.984,216417756.984
600519.SH,20230717,1729.97,0.1141,0.2611,0.86,34.651,32.7947,11.701,17.5116,16.6451,2.5194,2.7643,125619.78,125619.78,54913.6536,217318450.8066,217318450.8066
600519.SH,20230714,1753.0,0.1477,0.3378,1.15,35.1122,33.2313,11.8568,17.7447,16.8667,2.4863,2.728,125619.78,125619.78,54913.6536,220211474.34,220211474.34
600519.SH,20230713,1738.4,0.2054,0.4699,1.85,34.8198,32.9545,11.758,17.5969,16.7262,2.5072,2.7509,125619.78,125619.78,54913.6536,218377425.552,218377425.552
600519.SH,20230712,1713.8,0.1058,0.2419,0.93,34.3271,32.4882,11.5916,17.3479,16.4895,2.5432,2.7903,125619.78,125619.78,54913.6536,215287178.964,215287178.964
600519.SH,20230711,1710.0,0.1002,0.2291,0.89,34.251,32.4161,11.5659,17.3094,16.453,2.5488,2.7965,125619.78,125619.78,54913.6536,214809823.8,214809823.8
600519.SH,20230710,1700.9,0.1073,0.2454,0.88,34.0687,32.2436,11.5044,17.2173,16.3654,2.5625,2.8115,125619.78,125619.78,54913.6536,213666683.802,213666683.802
600519.SH,20230707,1690.03,0.1207,0.2762,0.93,33.851,32.0376,11.4309,17.1073,16.2608,2.5789,2.8296,125619.78,125619.78,54913.6536,212301196.7934,212301196.7934
600519.SH,20230706,1702.98,0.1205,0.2757,0.93,34.1103,32.283,11.5185,17.2384,16.3854,2.5593,2.8081,125619.78,125619.78,54913.6536,213927972.9444,213927972.9444
600519.SH,20230705,1715.38,0.1174,0.2685,0.87,34.3587,32.5181,11.6023,17.3639,16.5047,2.5408,2.7878,125619.78,125619.78,54913.6536,215485658.2164,215485658.2164
600519.SH,20230704,1730.6,0.0993,0.2271,0.71,34.6636,32.8066,11.7053,17.518,16.6512,2.5185,2.7633,125619.78,125619.78,54913.6536,217397591.268,217397591.268
600519.SH,20230703,1724.1,0.1524,0.3485,1.04,34.5334,32.6834,11.6613,17.4522,16.5886,2.528,2.7737,125619.78,125619.78,54913.6536,216581062.698,216581062.698
600519.SH,20230630,1691.0,0.1629,0.3726,1.14,33.8704,32.0559,11.4374,17.1171,16.2702,2.5775,2.828,125619.78,125619.78,54913.6536,212423047.98,212423047.98
600519.SH,20230629,1713.71,0.1133,0.2592,0.74,34.3253,32.4865,9.8626,17.347,16.4887,2.5433,2.5433,125619.78,125619.78,54913.6536,215275873.1838,215275873.1838
600519.SH,20230628,1728.38,0.1479,0.3382,0.85,34.6191,32.7645,9.947,17.4955,16.6298,2.5217,2.5217,125619.78,125619.78,54925.3243,217118715.3564,217118715.3564
600519.SH,20230627,1711.05,0.1208,0.2763,0.57,34.272,32.436,9.8473,17.3201,16.4631,2.5473,2.5473,125619.78,125619.78,54925.3243,214941724.569,214941724.569
600519.SH,20230626,1709.0,0.191,0.4368,0.9,34.2309,32.3972,9.8355,17.2993,16.4434,2.5503,2.5503,125619.78,125619.78,54925.3243,214684204.02,214684204.02
600519.SH,20230621,1735.83,0.1411,0.3226,0.6,34.7683,32.9058,9.9899,17.5709,16.7015,2.5109,2.5109,125619.78,125619.78,54925.3243,218054582.7174,218054582.7174
